1	18.40	17.80	16.70	13.30	10.40	9.70	32.09	NaN
2	18.10	16.90	15.10	10.90	9.70	9.60	NaN	NaN
3	18.10	16.80	15.00	10.80	9.60	9.60	32.07	32.64
4	18.60	18.10	17.00	12.30	8.90	8.90	32.10	NaN
5	18.70	17.80	16.10	12.20	9.20	9.20	32.08	NaN
6	19.00	18.50	17.20	13.20	9.80	9.50	32.03	32.56
7	18.90	17.60	15.50	10.80	10.60	10.60	31.98	NaN
8	19.40	16.70	12.80	11.90	11.20	11.10	31.99	NaN
9	19.50	14.70	13.40	11.80	11.20	11.10	31.88	NaN
10	15.60	12.90	12.70	12.60	11.70	11.60	31.91	32.23
11	13.80	13.60	13.10	12.60	11.80	10.80	32.08	NaN
12	16.70	NaN	NaN	NaN	NaN	NaN	31.92	NaN
13	19.40	16.30	14.20	13.30	12.80	12.20	31.98	32.82
14	20.10	17.80	15.00	12.40	12.20	12.10	32.26	NaN
15	19.70	18.90	15.60	12.80	12.70	12.00	31.29	NaN
16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
17	19.80	18.90	16.40	12.70	12.80	12.20	32.29	32.44
18	21.10	18.40	16.90	12.60	12.30	12.20	32.58	NaN
19	20.50	20.40	18.40	12.20	11.80	11.80	32.60	NaN
20	18.20	15.10	14.00	12.80	11.80	11.70	32.34	32.56
21	19.00	17.80	15.10	12.00	11.60	11.60	32.32	NaN
22	18.60	18.50	16.80	12.20	11.50	11.60	32.08	NaN
23	18.00	16.30	14.70	11.80	11.30	11.30	32.40	NaN
24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
25	18.20	19.10	19.10	12.70	11.60	11.20	32.94	NaN
26	19.30	19.40	19.60	14.40	11.20	11.20	33.37	NaN
27	19.50	19.60	19.80	15.10	11.30	11.10	33.72	32.71
28	18.50	18.80	19.30	13.60	12.20	12.00	33.11	NaN
29	18.40	18.40	18.80	16.10	12.20	11.30	33.47	NaN
30	19.20	19.60	19.50	15.60	12.20	11.50	33.51	NaN
