1	18.40	18.40	18.40	15.80	11.90	11.70	33.10	NaN
2	16.70	16.10	16.20	13.90	12.90	12.80	32.79	NaN
3	14.40	14.30	13.90	13.60	13.10	12.90	32.01	NaN
4	17.80	17.80	17.80	12.90	12.30	12.30	33.81	NaN
5	19.50	NaN	NaN	NaN	NaN	NaN	33.38	NaN
6	18.90	NaN	NaN	NaN	NaN	NaN	32.54	NaN
7	19.50	NaN	NaN	NaN	NaN	NaN	33.30	NaN
8	18.30	NaN	NaN	NaN	NaN	NaN	33.97	NaN
9	15.50	NaN	NaN	NaN	NaN	NaN	33.21	NaN
10	17.70	NaN	NaN	NaN	NaN	NaN	33.79	NaN
11	18.30	NaN	NaN	NaN	NaN	NaN	33.92	NaN
12	17.20	NaN	NaN	NaN	NaN	NaN	33.42	NaN
13	17.20	16.90	16.80	16.70	12.90	12.90	33.47	NaN
14	18.00	18.00	17.90	16.30	13.00	13.00	33.90	NaN
15	18.20	18.20	18.00	17.50	13.60	13.30	33.74	NaN
16	18.10	18.10	18.30	18.40	13.70	13.50	33.49	NaN
17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
18	NaN	NaN	NaN	NaN	NaN	NaN.	NaN	NaN
19	NaN	NaN	NaN	NaN	NaN	NaN.	NaN	NaN
20	NaN	NaN	NaN	NaN	NaN	NaN.	NaN	NaN
21	16.80	16.70	16.90	18.00	16.20	14.80	33.33	NaN
22	15.10	16.30	16.80	17.40	15.90	16.70	32.49	33.79
23	16.10	16.10	16.20	17.30	NaN	NaN	33.33	NaN
24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
25	15.90	15.90	15.80	16.00	15.50	14.50	32.99	NaN
26	16.40	17.90	17.90	18.00	19.40	NaN	33.31	34.78
27	15.50	15.60	16.30	17.90	18.90	17.10	32.92	NaN
28	15.40	15.30	15.20	15.10	15.60	16.10	32.90	NaN
29	15.60	15.30	15.20	15.10	15.60	15.90	32.93	33.04
30	16.10	15.70	15.60	15.40	16.60	16.70	32.92	NaN
31	15.20	15.10	15.10	15.10	15.10	15.10	33.20	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
