2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6	21.40	16.70	13.30	9.30	9.20	9.20	31.97	32.36
7	21.30	18.70	13.20	9.20	9.30	9.30	31.96	NaN
8	21.00	18.10	13.80	9.50	9.00	9.20	31.85	NaN
9	21.40	18.30	13.90	10.80	9.00	9.00	31.90	32.39
10	19.50	17.80	13.70	11.20	9.30	9.30	31.85	NaN
11	20.90	18.20	13.40	10.90	9.50	9.50	31.85	NaN
12	19.60	16.70	12.80	11.10	10.10	10.00	31.68	NaN
13	19.60	17.90	13.40	8.90	8.00	8.10	31.87	32.40
14	17.70	15.30	12.10	8.80	8.40	8.10	31.92	NaN
15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
16	12.20	10.90	10.20	9.80	9.30	9.20	31.89	32.35
17	13.20	11.60	10.40	9.80	9.10	8.80	32.03	NaN
18	14.60	11.40	10.60	9.50	9.20	9.20	32.03	NaN
19	14.90	13.90	11.30	8.90	8.80	8.80	31.30	NaN
20	16.90	14.10	11.50	9.50	8.70	8.70	31.85	32.35
21	17.20	15.30	13.20	9.70	8.80	8.80	31.91	NaN
22	18.30	17.10	15.40	9.30	9.20	9.20	31.79	NaN
23	19.30	18.60	14.80	10.70	8.80	8.80	31.97	NaN
24	17.70	14.60	11.10	10.20	9.10	9.00	32.05	NaN
25	15.70	12.40	11.70	10.70	9.60	9.10	32.01	NaN
26	13.80	12.10	11.19	11.10	9.60	9.30	31.93	NaN
27	16.50	14.70	13.60	11.40	10.10	9.60	31.94	32.21
28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
29	15.40	13.40	12.70	10.70	8.80	8.70	31.93	NaN
30	16.50	15.30	13.60	10.10	8.10	8.10	31.92	32.66
31	17.10	16.80	16.70	12.10	8.40	7.90	32.07	NaN
